"No.","OCUPACION","OCUPACION.NOMBRE","SALARIO"
"8342",2226,"Enfermeros profesionales","1617887.80"
"8343",2221,"Médicos generales y especialistas","2528528.53"
"8344",3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","811173.32"
"8345",3226,"Auxiliares de enfermería","747731.25"
"8346",2226,"Enfermeros profesionales","1684584.90"
"8347",3224,"Técnicos y asistentes en farmacia","599169.44"
"8348",2227,"Médico Especialista","2511169.90"
"8349",2449,"Otros profesionales en ciencias sociales","1872927.50"
"8350",5132,"Ayudantes de enfermería","585494.45"
"8351",2227,"Médico Especialista","8134011.85"
"8352",7125,"Encargado de Mantenimiento de Edificios","2115.25"
"8353",4149,"Oficinista","832170.95"
"8354",3226,"Auxiliares de enfermería","999186.06"
"8355",5132,"Ayudantes de enfermería","757142.60"
"8356",3226,"Auxiliares de enfermería","896898.85"
"8357",7125,"Encargado de Mantenimiento de Edificios","623243.40"
"8358",9152,"Guardianes y porteros ","601355.15"
"8359",9152,"Guardianes y porteros ","984050.85"
"8360",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","1883161.30"
"8361",5132,"Ayudantes de enfermería","586721.80"
"8362",3229,"Otros técnicos de las ciencias de la salud","893524.50"
"8363",5132,"Ayudantes de enfermería","296724.00"
"8364",8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","470820.00"
"8365",2227,"Médico Especialista","2904073.40"
"8366",9155,"Ayudante de cocina","521431.84"
"8367",5132,"Ayudantes de enfermería","892263.80"
"8368",2227,"Médico Especialista","6409095.06"
"8369",3226,"Auxiliares de enfermería","422527.50"
"8370",3229,"Otros técnicos de las ciencias de la salud","785987.69"
"8371",3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","542925.00"
"8372",2226,"Enfermeros profesionales","2127629.90"
"8373",2226,"Enfermeros profesionales","2039051.26"
"8374",2227,"Médico Especialista","4105094.80"
"8375",2226,"Enfermeros profesionales","1707316.30"
"8376",3226,"Auxiliares de enfermería","789350.75"
"8377",9152,"Guardianes y porteros ","821205.10"
"8378",3226,"Auxiliares de enfermería","783213.90"
"8379",3122,"Técnicos y asistentes en estadística y demografía","716022.85"
"8380",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3404804.50"
"8381",2227,"Médico Especialista","2632695.20"
"8382",2446,"Trabajadores sociales y orientadores sociales","1594712.40"
"8383",3226,"Auxiliares de enfermería","888164.35"
"8384",2224,"Farmacéuticos","2550486.30"
"8385",3122,"Técnicos y asistentes en estadística y demografía","812218.17"
"8386",8229,"Otros operadores de máquinas para fabricar productos químicos","624237.75"
"8387",3139,"Otros técnicos en informática","850850.00"
"8388",9152,"Guardianes y porteros ","1059405.08"
"8389",3417,"Secretarios ejecutivos y secretarios ejecutivos bilingües","679272.25"
"8390",3229,"Otros técnicos de las ciencias de la salud","673280.34"
"8391",3226,"Auxiliares de enfermería","514329.00"
"8392",8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","1222210.80"
"8393",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","1791734.28"
"8394",3122,"Técnicos y asistentes en estadística y demografía","326935.75"
"8395",2227,"Médico Especialista","9375829.79"
"8396",2449,"Otros profesionales en ciencias sociales","2302851.25"
"8397",2221,"Médicos generales y especialistas","4289703.36"
"8398",5132,"Ayudantes de enfermería","497960.00"
"8399",3226,"Auxiliares de enfermería","1396900.10"
"8400",3122,"Técnicos y asistentes en estadística y demografía","564863.55"
"8401",2132,"Programadores informáticos ","1387663.42"
"8402",2221,"Médicos generales y especialistas","2810195.85"
"8403",3122,"Técnicos y asistentes en estadística y demografía","1310558.55"
"8404",2222,"Odontólogos","2227735.20"
"8405",2226,"Enfermeros profesionales","1092500.09"
"8406",3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","307918.35"
"8407",2227,"Médico Especialista","3642253.60"
"8408",2226,"Enfermeros profesionales","1414421.73"
"8409",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","3259040.00"
"8410",3226,"Auxiliares de enfermería","1678464.54"
"8411",1124,"Jefes de sección de instituciones públicas y empresas privadas","2036880.50"
"8412",2227,"Médico Especialista","2485112.50"
"8413",3226,"Auxiliares de enfermería","1083097.60"
"8414",1124,"Jefes de sección de instituciones públicas y empresas privadas","2390888.30"
"8415",3226,"Auxiliares de enfermería","635224.01"
"8416",3233,"Técnicos en operación de equipo para diagnóstico médico (Operadores electrocardiografía, electroencefalografía, etc.) ","11675.00"
"8417",2446,"Trabajadores sociales y orientadores sociales","1312500.95"
"8418",7125,"Encargado de Mantenimiento de Edificios","1142232.85"
"8419",9155,"Ayudante de cocina","205747.10"
"8420",2131,"Diseñadores y analistas de sistemas informáticos","2055125.50"
"8421",2222,"Odontólogos","2211920.20"
"8422",9155,"Ayudante de cocina","590437.83"
"8423",7125,"Encargado de Mantenimiento de Edificios","446805.07"
"8424",3224,"Técnicos y asistentes en farmacia","859750.00"
"8425",2221,"Médicos generales y especialistas","2270001.89"
"8426",3226,"Auxiliares de enfermería","918069.65"
"8427",2449,"Otros profesionales en ciencias sociales","1497545.50"
"8428",4149,"Oficinista","628800.00"
"8429",3229,"Otros técnicos de las ciencias de la salud","652970.05"
"8430",3412,"Técnicos y asistentes en recursos humanos","708000.00"
"8431",9152,"Guardianes y porteros ","441910.00"
"8432",2227,"Médico Especialista","6400153.91"
"8433",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","1924895.50"
"8434",5132,"Ayudantes de enfermería","551248.63"
"8435",3224,"Técnicos y asistentes en farmacia","1102386.81"
"8436",3229,"Otros técnicos de las ciencias de la salud","1624010.72"
"8437",9152,"Guardianes y porteros ","1101468.70"
"8438",2211,"Biólogos, botánicos, bacteriólogos, citólogos, zoólogos, microbiólogos, genetistas, ecólogos y afines","1896811.90"
"8439",2227,"Médico Especialista","608635.75"
"8440",2226,"Enfermeros profesionales","1943681.45"
"8441",5132,"Ayudantes de enfermería","884082.20"
"8442",2445,"Psicólogos","2003317.00"
"8443",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","2798461.70"
"8444",2446,"Trabajadores sociales y orientadores sociales","1523850.45"
"8445",3226,"Auxiliares de enfermería","708960.00"
"8446",2221,"Médicos generales y especialistas","3323270.40"
"8447",3413,"Técnicos y asistentes en administración de empresas/negocios y en mercadeo","1412025.02"
"8448",8312,"Conductores de taxis y automóviles para transporte (incluye ambulancias)","536178.92"
"8449",3229,"Otros técnicos de las ciencias de la salud","193862.25"
"8450",3229,"Otros técnicos de las ciencias de la salud","804440.00"
"8451",2449,"Otros profesionales en ciencias sociales","1162627.95"
"8452",2227,"Médico Especialista","2533838.70"
"8453",3224,"Técnicos y asistentes en farmacia","616760.00"
"8454",3226,"Auxiliares de enfermería","873923.26"
"8455",2222,"Odontólogos","2214850.90"
"8456",9152,"Guardianes y porteros ","819816.20"
"8457",3122,"Técnicos y asistentes en estadística y demografía","808120.00"
"8458",3122,"Técnicos y asistentes en estadística y demografía","727080.00"
"8459",2226,"Enfermeros profesionales","1507187.10"
"8460",2227,"Médico Especialista","2817298.50"
"8461",2227,"Médico Especialista","3541450.87"
"8462",3224,"Técnicos y asistentes en farmacia","831250.00"
"8463",5132,"Ayudantes de enfermería","517229.20"
"8464",3226,"Auxiliares de enfermería","722186.75"
"8465",7125,"Encargado de Mantenimiento de Edificios","570359.50"
"8466",3226,"Auxiliares de enfermería","762132.00"
"8467",4112,"Secretarios","641251.70"
"8468",4149,"Oficinista","558200.34"
"8469",2226,"Enfermeros profesionales","2605681.95"
"8470",1123,"Jefes o coordinadores de áreas o departamentos de instituciones públicas y empresas privadas ","3250676.40"
"8471",2445,"Psicólogos","1664510.50"
"8472",7125,"Encargado de Mantenimiento de Edificios","512807.41"
"8473",7125,"Encargado de Mantenimiento de Edificios","610001.87"
"8474",2222,"Odontólogos","1943320.00"
"8475",5132,"Ayudantes de enfermería","495266.55"
"8476",3419,"Otros técnicos en administración y en economía","1625757.00"
"8477",8315,"Maquinistas de locomotoras, guardafrenos, guardagujas y agentes de maniobras","755354.74"
"8478",2226,"Enfermeros profesionales","1984011.80"
"8479",9155,"Ayudante de cocina","994540.70"
"8480",2449,"Otros profesionales en ciencias sociales","1628618.50"
